timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-30T14:51:09,financial_multi_agent_system,a7271f29-64e4-4d6c-a455-4b4e4687455e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,41.49314080015756,0.001283767897521,3.093927990903436e-05,224.0,0.0,10.0,0.0025815459724598,0.0,0.0001151200000002,0.0026966659724601,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-06-30T14:53:41,financial_multi_agent_system,50f14392-8840-4eda-9d7f-0b3ce6ee5e5e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,43.303094799863175,0.0013396256474419,3.093602555737336e-05,224.0,0.0,10.0,0.0026938744622282,0.0,0.0001201255655549,0.0028140000277832,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-06-30T15:03:45,financial_multi_agent_system,f4cfa5e5-b4bc-4044-a180-f04ea6663e50,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,75.0714962000493,0.002322664193958,3.0939361961943846e-05,224.0,0.0,10.0,0.0046706536364596,0.0,0.0002083042416682,0.0048789578781279,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
<<<<<<< HEAD
2025-06-30T16:36:54,financial_multi_agent_system,f192f607-ccca-4276-818a-7be2d7b9a85a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,41.36397919990122,0.0012798562330899,3.0941322809025205e-05,224.0,0.0,10.0,0.0025736404649023,0.0,0.0001148087166663,0.0026884491815687,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-01T00:25:51,financial_multi_agent_system,f48470e4-df22-408f-8082-20aae9eb3fd9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,42.91278820001753,0.0013277395505049,3.0940416742820325e-05,224.0,0.0,10.0,0.0026699500115588,0.0,0.0001190822372222,0.0027890322487811,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-02T19:22:06,financial_multi_agent_system,bd17e927-370f-4ade-ae10-0a472f783d96,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,113.49877399997786,0.0035080507426335,3.090826992223046e-05,224.0,0.0,10.0,0.0070554335475464,0.0,0.0003135317347219,0.0073689652822684,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-02T20:41:59,financial_multi_agent_system,20990133-69c5-4b68-83f5-0b544b2b4ccd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,89.0409115999937,0.0027521308050968,3.090860993719884e-05,224.0,0.0,10.0,0.0055343447848906,0.0,0.0002467450119448,0.0057810897968354,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-02T20:52:34,financial_multi_agent_system,f860c801-4a62-43cb-a74d-77da204a0420,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,198.24040679994505,0.0061244972448516,3.089429316512769e-05,224.0,0.0,10.0,0.0123166329066631,0.0,0.0005484055091665,0.0128650384158297,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-02T21:40:58,financial_multi_agent_system,9328c40d-46b5-46a9-8599-ccf0524279cb,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,102.4340441999957,0.0031574276529976,3.0824006585476686e-05,224.0,0.0,10.0,0.0063501107102249,0.0,0.0002823403183332,0.0066324510285581,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T10:28:41,financial_multi_agent_system,d761ee4c-21c6-4f42-aa73-ae7e53623ee6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,108.26597980002408,0.0033438769638426,3.0885759035470226e-05,224.0,0.0,10.0,0.0067243674897857,0.0,0.0002997365105557,0.0070241040003415,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T10:36:13,financial_multi_agent_system,32a2d3a8-7080-42d3-a107-635635c0334b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,129.02513169997837,0.003986111653814,3.089407157578339e-05,224.0,0.0,10.0,0.0080158082542268,0.0,0.0003573654947223,0.0083731737489491,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T10:57:29,financial_multi_agent_system,313c230b-8ee6-4fe1-9869-9e54b385b121,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,44.41024659993127,0.0013686157696392,3.081756744042466e-05,224.0,0.0,10.0,0.0027523038168872,0.0,0.000122592480555,0.0028748962974422,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T11:01:20,financial_multi_agent_system,674229c6-67b2-4252-a06d-92e1aee50101,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,35.54324140003882,0.0010983014619006,3.0900430535845235e-05,224.0,0.0,10.0,0.0022085858604549,0.0,9.849175500017332e-05,0.0023070776154551,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T11:37:07,financial_multi_agent_system,7495466e-4e97-4b52-aabe-1e0dfc1117d9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,46.39332999999169,0.0014301949719706,3.082759896672401e-05,224.0,0.0,10.0,0.0028760330791109,0.0,0.0001282156813886,0.0030042487604995,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T11:45:12,financial_multi_agent_system,efe82bd7-a65c-4c87-9343-68266891c6fb,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,91.58901320002042,0.0027881956788162,3.0442468822403155e-05,224.0,0.0,10.0,0.0056072298426667,0.0,0.0002496173538888,0.0058568471965555,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T12:10:57,financial_multi_agent_system,deda8057-cdcc-4a55-b2f7-bc5e368b6c11,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,45.11472640000284,0.0013827486334112,3.0649606985341e-05,224.0,0.0,10.0,0.002780655658661,0.0,0.0001239279466668,0.0029045836053279,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T12:13:28,financial_multi_agent_system,77dfb63c-e515-4fb0-aeed-07bf4400d4b3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,80.68043009995017,0.0024841599671865,3.079011805104456e-05,224.0,0.0,10.0,0.0049955952728798,0.0,0.0002225985038886,0.0052181937767684,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T12:28:24,financial_multi_agent_system,8ea1f833-3eeb-4bdf-8613-37b57943358f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,61.03849870001432,0.001878593972566,3.077719820401905e-05,224.0,0.0,10.0,0.0037778126648865,0.0,0.0001683371427772,0.0039461498076638,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T12:34:13,financial_multi_agent_system,5cdc1aec-57db-49db-99f7-284b1b9c10d1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,76.66424630000256,0.002365702564231,3.085796415415835e-05,224.0,0.0,10.0,0.0047575406044421,0.0,0.0002118231086108,0.004969363713053,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T12:42:20,financial_multi_agent_system,54e30acd-4128-44ec-918b-e15f067eb348,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,65.4374334999593,0.0020235792322986,3.092387833792323e-05,224.0,0.0,10.0,0.0040692294719929,0.0,0.0001814744666661,0.004250703938659,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T12:51:33,financial_multi_agent_system,a8d591f9-3151-4ab1-b5ca-0caf013abbee,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,58.72267499996815,0.0018123891285329,3.086353148138961e-05,224.0,0.0,10.0,0.0036446480124443,0.0,0.0001624327699999,0.0038070807824443,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T12:54:48,financial_multi_agent_system,01854743-0e47-4dba-a96c-ccbb0fa36eb5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,62.1772115000058,0.0018852484886875,3.0320569919532927e-05,224.0,0.0,10.0,0.0037911761750994,0.0,0.000168952021666,0.0039601281967655,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T14:41:19,financial_multi_agent_system,050f0398-ec31-464f-8fd6-5485b7eacaec,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,35.72492260008585,0.0011048831886035,3.092751805152565e-05,224.0,0.0,10.0,0.0022225568026718,0.0,9.834630138906908e-05,0.0023209031040608,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T14:45:48,financial_multi_agent_system,62c570ce-8317-4c56-9aa6-8f14c6350a60,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,74.8863537000725,0.0023122579395477,3.087689312272599e-05,224.0,0.0,10.0,0.0046500673457762,0.0,0.0002070312911111,0.0048570986368873,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
2025-08-03T14:53:19,financial_multi_agent_system,77910545-431f-4fae-b30c-ce5ccd2329aa,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,89.58909170003608,0.0027655110676055483,3.086883698815795e-05,224.0,0.0,10.0,0.005561264712899509,0.0,0.0002479314874996716,0.005809196200399181,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
=======
2025-06-30T16:36:54,financial_multi_agent_system,f192f607-ccca-4276-818a-7be2d7b9a85a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,41.36397919990122,0.001279856233089948,3.0941322809025205e-05,224.0,0.0,10.0,0.0025736404649023383,0.0,0.00011480871666636733,0.0026884491815687057,United States,USA,texas,,,Windows-11-10.0.26100-SP0,3.13.5,3.0.2,16,13th Gen Intel(R) Core(TM) i7-1360P,,,-97.1432,32.7185,15.692092895507812,machine,N,1.0
>>>>>>> b469ac9e169c373554a18c86902ef03db3469da9
