Date,Adj Close,Close,High,Low,Open,Volume,timestamp
,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,
2025-05-07,276.2200012207031,276.2200012207031,277.9200134277344,271.0,276.8800048828125,71592600,2025-08-03 12:10:15.196806
2025-05-08,284.82000732421875,284.82000732421875,289.79998779296875,279.4100036621094,279.6300048828125,97539400,2025-08-03 12:10:15.196806
2025-05-09,298.260009765625,298.260009765625,307.0400085449219,290.0,290.2099914550781,132387800,2025-08-03 12:10:15.196806
2025-05-12,318.3800048828125,318.3800048828125,322.2099914550781,311.5,321.989990234375,112826700,2025-08-03 12:10:15.196806
2025-05-13,334.07000732421875,334.07000732421875,337.5899963378906,316.79998779296875,320.0,136992600,2025-08-03 12:10:15.196806
2025-05-14,347.67999267578125,347.67999267578125,350.0,337.0,342.5,136997300,2025-08-03 12:10:15.196806
2025-05-15,342.82000732421875,342.82000732421875,346.1400146484375,334.7200012207031,340.3399963378906,97882600,2025-08-03 12:10:15.196806
2025-05-16,349.9800109863281,349.9800109863281,351.6199951171875,342.3299865722656,346.239990234375,95895700,2025-08-03 12:10:15.196806
2025-05-19,342.0899963378906,342.0899963378906,343.0,333.3699951171875,336.29998779296875,88869900,2025-08-03 12:10:15.196806
2025-05-20,343.82000732421875,343.82000732421875,354.989990234375,341.6300048828125,347.8699951171875,131715500,2025-08-03 12:10:15.196806
2025-05-21,334.6199951171875,334.6199951171875,347.3500061035156,332.20001220703125,344.42999267578125,102354800,2025-08-03 12:10:15.196806
2025-05-22,341.0400085449219,341.0400085449219,347.2699890136719,331.3900146484375,331.8999938964844,97113400,2025-08-03 12:10:15.196806
2025-05-23,339.3399963378906,339.3399963378906,343.17999267578125,333.2099914550781,337.9200134277344,84654800,2025-08-03 12:10:15.196806
2025-05-27,362.8900146484375,362.8900146484375,363.7900085449219,347.32000732421875,347.3500061035156,120146400,2025-08-03 12:10:15.196806
2025-05-28,356.8999938964844,356.8999938964844,365.0,355.9100036621094,364.8399963378906,91404300,2025-08-03 12:10:15.196806
2025-05-29,358.42999267578125,358.42999267578125,367.7099914550781,356.0,365.2900085449219,88087800,2025-08-03 12:10:15.196806
2025-05-30,346.4599914550781,346.4599914550781,363.67999267578125,345.2900085449219,355.5199890136719,123474900,2025-08-03 12:10:15.196806
2025-06-02,342.69000244140625,342.69000244140625,348.0199890136719,333.3299865722656,343.5,81873800,2025-08-03 12:10:15.196806
2025-06-03,344.2699890136719,344.2699890136719,355.3999938964844,343.0400085449219,346.6000061035156,99324500,2025-08-03 12:10:15.196806
2025-06-04,332.04998779296875,332.04998779296875,345.6000061035156,327.3299865722656,345.1000061035156,98912100,2025-08-03 12:10:15.196806
2025-06-05,284.70001220703125,284.70001220703125,324.54998779296875,273.2099914550781,322.489990234375,287499800,2025-08-03 12:10:15.196806
2025-06-06,295.1400146484375,295.1400146484375,305.5,291.1400146484375,298.8299865722656,164747700,2025-08-03 12:10:15.196806
2025-06-09,308.5799865722656,308.5799865722656,309.8299865722656,281.8500061035156,285.9599914550781,140908900,2025-08-03 12:10:15.196806
2025-06-10,326.0899963378906,326.0899963378906,327.8299865722656,310.6700134277344,314.94000244140625,151256500,2025-08-03 12:10:15.196806
2025-06-11,326.42999267578125,326.42999267578125,335.5,322.5,334.3999938964844,122611400,2025-08-03 12:10:15.196806
2025-06-12,319.1099853515625,319.1099853515625,332.55999755859375,316.8599853515625,323.0799865722656,105127500,2025-08-03 12:10:15.196806
2025-06-13,325.30999755859375,325.30999755859375,332.989990234375,313.29998779296875,313.9700012207031,128964300,2025-08-03 12:10:15.196806
2025-06-16,329.1300048828125,329.1300048828125,332.04998779296875,326.4100036621094,331.2900085449219,83925900,2025-08-03 12:10:15.196806
2025-06-17,316.3500061035156,316.3500061035156,327.260009765625,314.739990234375,326.0899963378906,88282700,2025-08-03 12:10:15.196806
2025-06-18,322.04998779296875,322.04998779296875,329.32000732421875,315.45001220703125,317.30999755859375,95137700,2025-08-03 12:10:15.196806
2025-06-20,322.1600036621094,322.1600036621094,332.3599853515625,317.7799987792969,327.95001220703125,108688000,2025-08-03 12:10:15.196806
2025-06-23,348.67999267578125,348.67999267578125,357.5400085449219,327.4800109863281,327.5400085449219,190716800,2025-08-03 12:10:15.196806
2025-06-24,340.4700012207031,340.4700012207031,356.260009765625,340.44000244140625,356.1700134277344,114736200,2025-08-03 12:10:15.196806
2025-06-25,327.54998779296875,327.54998779296875,343.0,320.3999938964844,342.70001220703125,119845100,2025-08-03 12:10:15.196806
2025-06-26,325.7799987792969,325.7799987792969,331.04998779296875,323.6099853515625,324.6099853515625,80440900,2025-08-03 12:10:15.196806
2025-06-27,323.6300048828125,323.6300048828125,329.3399963378906,317.5,324.510009765625,89067000,2025-08-03 12:10:15.196806
2025-06-30,317.6600036621094,317.6600036621094,325.5799865722656,316.6000061035156,319.8999938964844,76695100,2025-08-03 12:10:15.196806
2025-07-01,300.7099914550781,300.7099914550781,305.8900146484375,293.2099914550781,298.4599914550781,145085700,2025-08-03 12:10:15.196806
2025-07-02,315.6499938964844,315.6499938964844,316.8299865722656,303.82000732421875,312.6300048828125,119483700,2025-08-03 12:10:15.196806
2025-07-03,315.3500061035156,315.3500061035156,318.45001220703125,312.760009765625,317.989990234375,58042300,2025-08-03 12:10:15.196806
2025-07-07,293.94000244140625,293.94000244140625,296.1499938964844,288.7699890136719,291.3699951171875,131177900,2025-08-03 12:10:15.196806
2025-07-08,297.80999755859375,297.80999755859375,304.04998779296875,294.3500061035156,297.0,103246700,2025-08-03 12:10:15.196806
2025-07-09,295.8800048828125,295.8800048828125,300.1499938964844,293.54998779296875,297.54998779296875,75586800,2025-08-03 12:10:15.196806
2025-07-10,309.8699951171875,309.8699951171875,310.4800109863281,300.0,300.04998779296875,104365300,2025-08-03 12:10:15.196806
2025-07-11,313.510009765625,313.510009765625,314.0899963378906,305.6499938964844,307.8900146484375,79236400,2025-08-03 12:10:15.196806
2025-07-14,316.8999938964844,316.8999938964844,322.6000061035156,312.6700134277344,317.7300109863281,78043400,2025-08-03 12:10:15.196806
2025-07-15,310.7799987792969,310.7799987792969,321.20001220703125,310.5,319.67999267578125,77556300,2025-08-03 12:10:15.196806
2025-07-16,321.6700134277344,321.6700134277344,323.5,312.6199951171875,312.79998779296875,97284800,2025-08-03 12:10:15.196806
2025-07-17,319.4100036621094,319.4100036621094,324.3399963378906,317.05999755859375,323.1499938964844,73922900,2025-08-03 12:10:15.196806
2025-07-18,329.6499938964844,329.6499938964844,330.8999938964844,321.4200134277344,321.6600036621094,94255000,2025-08-03 12:10:15.196806
2025-07-21,328.489990234375,328.489990234375,338.0,326.8800048828125,334.3999938964844,75768800,2025-08-03 12:10:15.196806
2025-07-22,332.1099853515625,332.1099853515625,335.4100036621094,321.54998779296875,329.739990234375,77370400,2025-08-03 12:10:15.196806
2025-07-23,332.55999755859375,332.55999755859375,336.20001220703125,328.6700134277344,330.8999938964844,92553800,2025-08-03 12:10:15.196806
2025-07-24,305.29998779296875,305.29998779296875,310.1499938964844,300.4100036621094,310.0,156966000,2025-08-03 12:10:15.196806
2025-07-25,316.05999755859375,316.05999755859375,323.6300048828125,308.010009765625,308.739990234375,148227000,2025-08-03 12:10:15.196806
2025-07-28,325.5899963378906,325.5899963378906,330.489990234375,315.69000244140625,318.45001220703125,112673800,2025-08-03 12:10:15.196806
2025-07-29,321.20001220703125,321.20001220703125,326.25,318.25,325.54998779296875,87358900,2025-08-03 12:10:15.196806
2025-07-30,319.0400085449219,319.0400085449219,324.45001220703125,311.6199951171875,322.17999267578125,83931900,2025-08-03 12:10:15.196806
2025-07-31,308.2699890136719,308.2699890136719,321.3699951171875,306.1000061035156,319.6099853515625,85270900,2025-08-03 12:10:15.196806
2025-08-01,302.6300048828125,302.6300048828125,309.30999755859375,297.82000732421875,306.2099914550781,88838600,2025-08-03 12:10:15.196806
