Date,Adj Close,Close,High,Low,Open,Volume,timestamp
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,
2025-05-07,151.19696044921875,151.3800048828125,165.0,147.83999633789062,164.0800018310547,127490100,2025-08-01 14:28:04.053867
2025-05-08,154.0934600830078,154.27999877929688,155.92999267578125,152.89999389648438,155.0,57498700,2025-08-01 14:28:04.053867
2025-05-09,152.5653076171875,152.75,155.0500030517578,152.1999969482422,154.1699981689453,32435300,2025-08-01 14:28:04.053867
2025-05-12,158.26840209960938,158.4600067138672,159.10000610351562,156.25,157.49000549316406,44138800,2025-08-01 14:28:04.053867
2025-05-13,159.33709716796875,159.52999877929688,160.57000732421875,156.16000366210938,158.7899932861328,42382100,2025-08-01 14:28:04.053867
2025-05-14,165.1700439453125,165.3699951171875,167.0,159.61000061035156,159.9600067138672,48755900,2025-08-01 14:28:04.053867
2025-05-15,163.76174926757812,163.9600067138672,166.2100067138672,162.3699951171875,165.83999633789062,33146700,2025-08-01 14:28:04.053867
2025-05-16,165.9890594482422,166.19000244140625,169.35000610351562,165.6199951171875,167.72999572753906,42846900,2025-08-01 14:28:04.053867
2025-05-19,166.338623046875,166.5399932861328,166.63999938964844,164.22000122070312,164.50999450683594,30426100,2025-08-01 14:28:04.053867
2025-05-20,163.78172302246094,163.97999572753906,168.5,162.89999389648438,166.42999267578125,46607700,2025-08-01 14:28:04.053867
2025-05-21,168.35618591308594,168.55999755859375,173.13999938964844,163.55999755859375,163.69000244140625,73416000,2025-08-01 14:28:04.053867
2025-05-22,170.66339111328125,170.8699951171875,176.77000427246094,170.7100067138672,171.85000610351562,74864400,2025-08-01 14:28:04.053867
2025-05-23,168.26629638671875,168.47000122070312,169.9600067138672,167.88999938964844,169.05999755859375,35211400,2025-08-01 14:28:04.053867
2025-05-27,172.69093322753906,172.89999389648438,173.1699981689453,170.0,170.16000366210938,37995700,2025-08-01 14:28:04.053867
2025-05-28,172.15159606933594,172.36000061035156,175.27000427246094,171.91000366210938,173.16000366210938,34784000,2025-08-01 14:28:04.053867
2025-05-29,171.65219116210938,171.86000061035156,174.4199981689453,170.6300048828125,174.0,29317300,2025-08-01 14:28:04.053867
2025-05-30,171.5323486328125,171.74000549316406,172.2100067138672,167.44000244140625,171.35000610351562,52639900,2025-08-01 14:28:04.053867
2025-06-02,168.82562255859375,169.02999877929688,169.8699951171875,167.38999938964844,167.83999633789062,38612300,2025-08-01 14:28:04.053867
2025-06-03,165.97906494140625,166.17999267578125,168.47999572753906,165.27999877929688,167.49000549316406,45084900,2025-08-01 14:28:04.053867
2025-06-04,167.8468017578125,168.0500030517578,168.22000122070312,166.36000061035156,166.74000549316406,26900800,2025-08-01 14:28:04.053867
2025-06-05,168.00662231445312,168.2100067138672,170.92999267578125,167.58999633789062,170.33999633789062,36379100,2025-08-01 14:28:04.053867
2025-06-06,173.46998596191406,173.67999267578125,174.5,170.8300018310547,170.8300018310547,35731800,2025-08-01 14:28:04.053867
2025-06-09,176.08999633789062,176.08999633789062,176.47000122070312,174.3699951171875,174.5399932861328,28935900,2025-08-01 14:28:04.053867
2025-06-10,178.60000610351562,178.60000610351562,181.11000061035156,174.91000366210938,176.1999969482422,61766100,2025-08-01 14:28:04.053867
2025-06-11,177.35000610351562,177.35000610351562,180.3699951171875,176.75,179.77000427246094,31646800,2025-08-01 14:28:04.053867
2025-06-12,175.6999969482422,175.6999969482422,176.72000122070312,174.75,176.17999267578125,20941900,2025-08-01 14:28:04.053867
